Category,Name,Code,Pallet Price,CNT Price,Case Size,PLY,Perf Length (mm),Roll Width (mm),Number of Sheets,Roll Diameter (mm),GSM,Roll Weight (g),Core Weight (g),Color,Fragrance,Pallet Count
Serviette,MACHINE WRAP 23MU - 16KG CLEAR,,21.50,23.65,46,,,,,,,736 KG 1 PALLET,,,16KG EACH,
Serviette,CLEAR TAPE 48mmX66mm 1X6,,2.20,2.42,6,,,,,,,,,,,
Multi Surface Wet Wipes,SLEEPY-Wet Wipes CLASSIC Easy Clean-Multi Surface Cleaning 6x100,22694,11.00,12.10,6,,,,,,,,,,WHITE SOAP,120
Multi Surface Wet Wipes,SLEEPY-Wet Wipes Easy Clean BLEACH -Multi Surface Cleaning 6x100,22695,11.00,12.10,6,,,,,,,,,,BLEACH,120
Multi Surface Wet Wipes,SLEEPY-Wet Wipes Easy Clean HERBAL SOAP-Multi Surface Cleaning 6x100,22696,11.00,12.10,6,,,,,,,,,,HERBAL SOAP,120
Multi Surface Wet Wipes,SLEEPY-MOP Easy Clean CLASSIC Adaptable Floor Cleaning Towels 50pcs x 4 Pack,22704,9.00,9.90,4,,,,,,,,,,WHITE SOAP,108
Multi Surface Wet Wipes,SLEEPY-MOP Easy Clean BLEACH Adaptable Floor Cleaning Towels 50pcs x 4 Pack,22703,9.00,9.90,4,,,,,,,,,,BLEACH,108
Multi Surface Wet Wipes,SLEEPY-MOP Easy Clean HERBAL SOAP Adaptable Floor Cleaning Towels 50pcs x 4 Pack,22705,9.00,9.90,4,,,,,,,,,,HERBAL SOAP,108
Multi Surface Wet Wipes,Deep Fresh Surface Cleaning Wipes 100pcs 1x12,22359,18.40,20.24,12,,,,,,,,,,WHITE SOAP,45
Multi Surface Wet Wipes,Deep Fresh Wet Wipes - BIODEGRADABLE Multi Surface Cleaning 12x100 (45),22837,23.50,25.85,12,,,,,,,,,,WHITE SOAP,45
Multi Surface Wet Wipes,Deep Fresh Surface Cleaning Wipes LEMON 100pcs 1x12,22836,18.40,20.24,12,,,,,,,,,,LEMON,45
Multi Surface Wet Wipes,Deep Fresh MOP Wipes - Floor Cleaning Towel 6x50 ,22819,11.50,12.65,6,,,,,,,,,,WHITE SOAP,
Carrier Bags,MD BLUE CARRIER BAG (NEWYORK) 11X17X21 *15mu,A10683,9.00,9.90,,,,,,,,,,BLUE,NO,160
Carrier Bags,WHITE VEST CARRY BAGS (ISLAMABAD) 11x17x21 *14mu,A11136,9.00,9.90,,,,,,,,,,BLUE,NO,160
Carrier Bags,MD (TOKYO) BLUE BAGS 860pc 11x17x21 *13mu,12332,9.00,9.90,,,,,,,,,,BLUE,NO,160
Carrier Bags,(PARIS) BLUE CARRIER BAGS 2000 11x17x21 *12mu,12083,13.00,14.30,,,,,,,,,,BLUE,NO,96
Carrier Bags,(PARIS) WHITE CARRY BAGS 2000 11x17x21 *12mu,A10847,13.00,14.30,,,,,,,,,,WHITE,NO,96
Carrier Bags,MD JUMBO BLUE (BARCELONA) 12x18x24 *18mu,19321,14.00,15.40,,,,,,,,,,BLUE,NO,90
Carrier Bags,MD JUMBO WHITE (BARCELONA) 12x18x24 *18mu,A11728,14.00,15.40,,,,,,,,,,WHITE,NO,90
Carrier Bags,(ANKARA) BLUE CARRIER BAGS 2000 36x4 3cm *12mu,A10027,10.50,11.55,,,,,,,,,,BLUE,NO,120
Carrier Bags,(ANKARA) WHITE CARRIER BAGS 2000 36x4 3cm *12mu,A10028,10.50,11.55,,,,,,,,,,WHITE,NO,120
Carrier Bags,MD SP PRINTED WHITE MEDIUM CARRIER BAGS (SMILEY),12039,9.50,10.45,,,,,,,,,,WHITE,NO,160
Carrier Bags,MD SP PRINTED WHITE JUMBO CARRIER BAGS (SMILEY),12040,13.00,14.30,,,,,,,,,,WHITE,NO,90
Carrier Bags,VEGETABLE ROLL 20 ROLL-MD BAG ON ROLL 10mu,A11111,16.50,18.15,,,,,,,,,,CLEAR,NO,60
Carrier Bags,BLACK BOTTLE BAG 2000 - 8X13X19(100),A10057,11.50,12.65,,,,,,,,,,BLACK,NO,100
Carrier Bags,WHITE BOTTLE BAGS 2000 - 8X13X19(100),A11130,11.50,12.65,,,,,,,,,,WHITE,NO,100
Bin Bags,10 ROLL BIN BAG 20*10,A10001,6.00,6.60,,,,,,,,,,BLACK,NO,135
Bin Bags,MD10 ROLL BIN BAG 74x98cm 1x20,22371,13.00,14.30,,,,,,,,,,BLACK,NO,260
Bin Bags,MD20 ROLL BIN BAG 20*20(135),21543,11.00,12.10,,,,,,,,,,BLACK,NO,135
Bin Bags,MD50 ROLL BIN BAG 10*50 (108),22215,12.50,13.75,,,,,,,,,,BLACK,NO,108
Bin Bags,GREEN GARDEN BAG 20*10 ROLL,A10438,11.50,12.65,,,,,,,,,,GREEN,NO,135
Bin Bags,HEAVY DUTY LOOSE BIN BAG - 150pcs,12257,9.50,10.45,,,,,,,,,,BLACK,NO,150
Bin Bags,HEAVY DUTY BLACK SACKS (COMPACTOR) 100pcs,11516,9.50,10.45,,,,,,,,,,BLACK,NO,135
Meat Roll,ILKA MEAT ROLL 11x45x1250m,21765,22.50,24.75,,,,,,,,,,CLEAR,NO,168
Wrapping Pappers,BREAD WRAPPING PAPER (OFF CUT) 18X20,12194,7.50,8.25,,,,,,,,,,GRAY,NO,125
Wrapping Pappers,BREAD WRAPPING PAPER (OFF CUT) LARGE 20x24,H10100,7.50,8.25,,,,,,,,,,GRAY,NO,124
Wrapping Pappers,SOS MEDIUM INTERNAL CRAFT BROWN HANDLE BAGS,12285,10.50,11.55,,,,,,,,,,,,
Wrapping Pappers,SOS LARGE BROWN PAPER BAGS 25+14x30cm EP-90032,12281,11.50,12.65,,,,,,,,,,,,
Wrapping Pappers,SOS LARGE BROWN PAPER BAG 28x17x29cm 70gr-250pc(64),22339,11.50,12.65,250pcs,,,,,,,,,,,64
Wrapping Pappers,SOS XL BROWN PAPER BAG 32x22x26cm 70gr-150pc,22338,11.50,12.65,150pcs,,,,,,,,,,,
Food Containers,RO24 CIRCLE BLACK CONTAINER WITH LID 1x150,21739,16.50,18.15,150,,,,,,,,,BLACK,NO,40
Food Containers,RE28 RECT BLACK CONTAINER WITH LID 1x150,21740,21.50,23.65,150,,,,,,,,,BLACK,NO,40
Food Containers,RO32 CIRCLE BLACK CONTAINER WITH LID 1x150,21741,18.50,20.35,150,,,,,,,,,BLACK,NO,40
Food Containers,RE38 RECT BLACK CONTAINER WITH LID 1x150,21742,21.50,23.65,150,,,,,,,,,BLACK,NO,40
Food Containers,RE58 RECT BLACK CONTAINER WITH LID 1x150,21743,38.00,41.80,150,,,,,,,,,BLACK,NO,40
Food Containers,RE232 BLACK CONTAINER WITH LID 1x150,21788,22.00,24.20,150,,,,,,,,,BLACK,NO,40
Food Containers,RE342 BLACK CONTAINER WITH LID 1x150,21789,30.00,33.00,150,,,,,,,,,BLACK,NO,40
Food Containers,CHEF ROYALE 500ML CONTAINER WITH LID 250 PACK,22176,18.00,19.80,250,,,,,,,,,CLEAR,NO,40
Food Containers,CHEF ROYALE 650ML CONTAINER WITH LID 250 PACK,22177,18.00,19.80,250,,,,,,,,,CLEAR,NO,40
Food Containers,CHEF ROYALE 750ML CONTAINER WITH LID 250 PACK,22178,20.00,22.00,250,,,,,,,,,CLEAR,NO,40
Food Containers,CHEF ROYALE 1000ML CONTAINER WITH LID 250 PACK,22179,22.00,24.20,250,,,,,,,,,CLEAR,NO,40
Food Containers,DELIPOTS 1oz HINGE PLASTIC SAUCE POTS 1X1000,21309,7.00,7.70,1000,,,,,,,,,CLEAR,NO,
Food Containers,DELIPOTS 2oz HINGE PLASTIC SAUCE POTS 1X1000,21310,12.00,13.20,1000,,,,,,,,,CLEAR,NO,
Food Containers,DELIPOTS 4oz HINGE PLASTIC SAUCE POTS 1X1000,21311,20.00,22.00,1000,,,,,,,,,CLEAR,NO,
Food Containers,MAJESTIC 500ML CONTAINER WITH LID 250 PACK,19106,16.50,18.15,250,,,,,,,,,CLEAR,NO,
Food Containers,MAJESTIC 650ML CONTAINER WITH LID 250 PACK,19107,17.50,19.25,250,,,,,,,,,CLEAR,NO,
Food Containers,MAJESTIC 750ML CONTAINER WITH LID 250 PACK,19108,18.50,20.35,250,,,,,,,,,CLEAR,NO,
Food Containers,MAJESTIC 1000ML CONTAINER WITH LID 250 PACK,19109,19.50,21.45,250,,,,,,,,,CLEAR,NO,
Bagesse,HP 6 HAMBURGER BAGASSE 500PCS,22485,23.00,25.30,500,,,,,,,,,,,42
Bagesse,1000ML CLAMSHELL - HP 10 BAGASSE 1000ML 250PCS,22484,16.00,17.60,250,,,,,,,,,,,54
Bagesse,800ML CLAMSHELL - HP 9 BAGASSE 800ML 250PCS,22483,15.50,17.05,250,,,,,,,,,,,60
Bagesse,3 COMS CLAMSHELL BOX 150PCS,22486,16.00,17.60,150,,,,,,,,,,,72
Bagesse,2 COMS CLAMSHELL BOX 250PCS,22487,26.00,28.60,250,,,,,,,,,,,
Bagesse,350 ML / 12 OZ BOWL BAGESSE 1000PCS,22488,30.00,33.00,1000,,,,,,,,,,,42
Bagesse,500 ML / 17 OZ BOWL BAGESSE 750PCS,22489,25.00,27.50,750,,,,,,,,,,,
Bagesse,"7"" PLATE BAGESSE 500PCS",22490,13.00,14.30,500,,,,,,,,,,,69
Bagesse,"9"" PLATE BAGESSE 500PCS",22491,19.50,21.45,500,,,,,,,,,,,56
Bagesse,"10"" PLATE BAGESSE 500PCS",22492,26.00,28.60,500,,,,,,,,,,,
Bagesse,28X48 6 ATHLETE BAG 10X100PCS,22493,5.00,5.50,1000,,,,,,,,,,,192
Bagesse,30X55 ATHLETE BAG 10X100PCS,22494,15.50,17.05,1000,,,,,,,,,,,101
Bagesse,22X45 TSHIRT10X100PCS,22495,12.00,13.20,1000,,,,,,,,,,,110
Mevlana,MEVLANA GORAN-TEE 10 X 1KG (40),21008,80.00,88.00,,,,,,,,,,,,40
Mevlana,MEVLANA GORAN-TEE 20 X 500G (40),21009,80.00,88.00,,,,,,,,,,,,40
Mevlana,MEVLANA TEA BAGS X24,21145,35.00,38.50,,,,,,,,,,,,
Mevlana,MEVLANA GREEN TEA BAGS X24,22159,35.00,38.50,,,,,,,,,,,,
Mevlana,LAVAZZA ROSSA 250 GR GROUND COFFEE 20 X 250 GR,12571,52.00,57.20,,,,,,,,,,,,
Deep Fresh,Deep Fresh Surface Cleaning Wipes 100pcs 1x12,90010,17.80,19.58,12pcs,,,,,,,,,,WHITE SOAP,45
Deep Fresh,Deep Fresh Surface Cleaning Wipes 50pcs 1x24,90011,20.00,22.00,24pcs,,,,,,,,,,WHITE SOAP,35
Deep Fresh,Deep Fresh Extra Soft Baby Wet Wipes 72pcs FlipTop 1x24(60) BLUE / PINK / GREEN,90001,11.00,12.10,24pcs,,,,,,,,,,NO,60
Deep Fresh,Deep Fresh Wet Wipes - Lovely Baby - PANDA 24x72pcs,22772,12.00,13.20,24pcs,,,,,,,,,,,
Deep Fresh,Deep Fresh Wet Wipes - Lovely Baby - LEON 24x72pcs,90002,12.00,13.20,24pcs,,,,,,,,,,NO,60
Deep Fresh,Deep Fresh Wet Wipes - Lovely Baby - LITTLE LAMB 24x72pcs,90003,12.00,13.20,24pcs,,,,,,,,,,NO,60
Deep Fresh,Deep Fresh Wet Wipes - Lovely Baby - GIRAFFE 24x72pcs,90004,12.00,13.20,24pcs,,,,,,,,,,NO,60
Deep Fresh,Deep Fresh Oud Wet Wipes 100pcs w/ FlipTop 1x24,90021,15.00,16.50,24pcs,,,,,,,,,,OUD,
Deep Fresh,Deep Fresh Amber Wet Wipes 100pcs w/ FlipTop 1x24,90020,15.00,16.50,24pcs,,,,,,,,,,AMBER,
Deep Fresh,Deep Fresh Green Nature Wet Wipes Avocado 120pcs w/ FlipTop 1x24,90030,18.00,19.80,24pcs,,,,,,,,,,AVOCADO,
Deep Fresh,Deep Fresh Green Nature Wet Wipes Olive Oil 120pcs w/ FlipTop 1x24,90032,18.00,19.80,24pcs,,,,,,,,,,OLIVE OIL,
Deep Fresh,Deep Fresh Green Nature Wet Wipes Green Tea 120pcs w/ FlipTop 1x24,90031,18.00,19.80,24pcs,,,,,,,,,,GREEN TEA,
Deep Fresh,Deep Fresh Biodegradable Probiotics Wet Wipes 40pcs w/ Label 1x18,90040,14.00,15.40,18pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh PET Wet Wipes 30pcs w/ Label 1x24,90070,16.00,17.60,24pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Deo Wipes Fresh Lady 20pcs 1x20,90050,7.85,8.64,20pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Deo Wipes Sport Men 20pcs 1x20,90051,7.85,8.64,20pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Make-up Removal Cucumber Wipes 25pcs 1x12 SINGLE BOX,90093,4.80,5.28,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Collagen Extract Make-Up Removal 25pcs 1x48 BOX,90091,22.00,24.20,48pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Genital Hygenic Aloevera Intimate Wipes 23pcs 1x12,90092,5.20,5.72,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Collagen Extract Make-Up Removal 25pcs 1x12 SINGLE BOX,90090,5.20,5.72,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Dark Rose Wet Wipes 100pcs w/ FlipTop 1x24,90034,15.50,17.05,24pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Adult Wet Towel Wipes 48pcs w/FlipTop 1x24,90094,22.00,24.20,24pcs,,,,,,,,,,NO,
Deep Fresh,UltraFresh Kitchen Cleaning Wet Wipes 20pcs 1x24,21729,11.50,12.65,24pcs,,,,,,,,,,NO,
Deep Fresh,UltraFresh Bathroom Cleaning Wet Wipes 20pcs 1x24,21730,11.50,12.65,24pcs,,,,,,,,,,NO,
Deep Fresh,UltraFresh Car Cleaning Wet Wipes 20pcs 1x24,21731,13.39,,24pcs,,,,,,,,,,NO,
Deep Fresh,UltraFresh Canister Wipes 80pcs-Bathroom 1x12,21732,14.65,,12pcs,,,,,,,,,,NO,
Deep Fresh,UltraFresh Canister Wipes 80pcs-Kitchen 1x12,21733,14.65,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Foam Hand Soap Amethyst 12x400ml,21688,12.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Foam Hand Soap Blue Topaz 12x400ml,21689,12.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Foam Hand Soap Emerald 12x400ml,21690,12.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Foam Hand Soap Ruby 12x400ml,21691,12.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Fruity Foam Soap Green Apple 12x400ml,21692,12.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Fruity Foam Soap Tangerine 12x400ml,21693,12.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Fruity Foam Soap Pomegranade 12x400ml,21694,12.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Romance Liquid Soap - Blue Orchid 12x500ml,21695,7.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Romance Liquid Soap - Pink Rose 12x500ml,21696,7.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Romance Liquid Soap - White Lily 12x500ml,21697,7.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeLuxe Classic Liquid Hand Wash-Golden Dust 1x12,21723,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeLuxe Classic Liquid Hand Wash-Star Dust 1x12,21724,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeRoyal Pearl Series Luxury Hand Soap - Black Pearl 12x500ml,21878,20.00,,12pcs,,,,,,,,,,NO,
