Category,Name,Code,Pallet Price,CNT Price,Case Size,PLY,Perf Length (mm),Roll Width (mm),Number of Sheets,Roll Diameter (mm),GSM,Roll Weight (g),Core Weight (g),Color,Fragrance,Pallet Count
Deep Fresh,SavonDeRoyal Miracle Shower Gel-GREEN TEA 12x500ml,22548,19.53,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Shower Gel-ICE THERAPHY 12x500ml,22549,19.53,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Shower Gel-MOISTURE THERAPY 12x500ml,22550,19.53,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Shower Gel-COFFEE BREAK 12x500ml,22551,19.53,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Shower Gel-PINK DREAM 12x500ml,22553,19.53,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Wet Wipes-Biodegrable Flushable Toilet Wipes 48x42pcs (),90012,22.50,,48pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Make-Up Removal Cotton With Bags 70pcs 1x48,90503,20.00,,48pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Make-Up Cleaning Water Micellar 24x200ml,22557,12.00,,24pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Make-Up Removing Wipes HYALURONIC ACID 25PCS 1X48,222558,22.00,,48pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Face Mask - Hyaluronic Acid 24pcs 1x144 FULL BOX,22559,50.00,,144pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Face Mask - Zinc Oxide 24pcs 1X6 FULL BOX,22560,50.00,,144pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Face Mask - Collagen 24pcs 1X6 FULL BOX,22561,50.00,,144pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Face Mask - Aloe Vera 24pcs 1X6 FULL BOX,22688,50.00,,144pcs,,,,,,,,,,,
Deep Fresh,Deep Fresh Face Mask - Vitamin C 24pcs 1X6 FULL BOX,22687,50.00,,144pcs,,,,,,,,,,,
Deep Fresh,Deep Fresh Face Mask - Ginseng 24pcs 1X6 FULL BOX,22689,50.00,,144pcs,,,,,,,,,,,
